Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC(=C4S3)C(F)(F)F)CC(=O)O,0.38
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Br)CC(=O)O,0.41
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)C(F)(F)F)C(=N3)CC(=O)O,0.36
C1=CC=C2C(=C1)C(=NN(C2=O)CSC3=NC4=CC=CC=C4S3)CC(=O)O,0.37
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)C(F)(F)F)C(=N3)CC(=O)O,0.37
C1=CC=C2C(=C1)C(=NN(C2=O)CCC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,0.29
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)F)CC(=O)O,0.36
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CC(=O)O,0.34
CC1=C(C2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,0.33
COC1=CC2=C(C=C1C(F)(F)F)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.24
COC1=CC2=C(C(=C1)C(F)(F)F)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.27
CC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)C,0.42
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Br)C(=N3)CC(=O)O,0.32
CC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.4
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Cl)C(=N3)CC(=O)O,0.39
CS(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.26
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)F)CC(=O)O,0.46
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Cl)CC(=O)O,0.47
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)[N+](=O)[O-])C(=N3)CC(=O)O,0.36
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Cl)CC(=O)O,0.43
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Cl)CC(=O)O,0.37
CSC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.37
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C(=C4)C(F)(F)F)O)CC(=O)O,0.32
CC(C)C1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.27
COC1=C(C=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,0.28
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Br)CC(=O)O,0.45
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=CC(=C3)C4=NC5=CC=CC=C5S4)CC(=O)O,0.23
CC(C1=NC2=C(S1)C=CC(=C2)Cl)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.38
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)Cl)C(F)(F)F)CC(=O)O,0.28
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)Cl)CC(=O)O,0.42
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)Cl)CC(=O)O,0.42
CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.27
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)Cl)Cl)CC(=O)O,0.32
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)O)CC(=O)O,0.39
COC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.27
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=CC=CC=C5C(=N4)CC(=O)O,0.3
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)F)C(F)(F)F)CC(=O)O,0.32
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])C(=N3)CC(=O)O,0.36
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=NC4=CC=CC=C4S3,0.28
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)F)CC(=O)O,0.42
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)Cl)Cl)CC(=O)O,0.39
CC(C)C1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,0.34
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)O)CC(=O)O,0.32
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)Cl)CC(=O)O,0.35
C1=CC2=C(C=C1Br)SC(=N2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,0.28
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Cl)C(=N3)CC(=O)O,0.41
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Br)C(=N3)CC(=O)O,0.42
CC(C1=NC2=C(S1)C=CC(=C2)C(F)(F)F)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.34
CC(C)C1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,0.34
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)C(F)(F)F)CC(=O)O,0.36
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC=C4F)C(=N3)CC(=O)O,0.4
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)O)CC(=O)O,0.37
CC(C1=NC2=CC=CC=C2S1)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,0.39
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,0.42
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)F)CC(=O)O,0.43
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)O)O)CC(=O)O,0.36
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)F)CC(=O)O,0.41
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O.O,0.29
