Antiviral activity against rimantidine, amantidine-resistant Influenza A virus (A/California/07/09(H1N1)) pdm09 infected in MDCK cells assessed as inhibition of viral replication after 1 hrs by hemagglutination assay
CC1=C(C(=C2C(=C1O)C3(C(=CC4=C(C3=O)C(=NN4C5=CC=CC(=C5)C(F)(F)F)C)O2)C)C(=O)C)O,68.4
CC1=C(C(=C2C(=C1OC)C3(C(=CC4=C(CC35CO5)C(=NN4C6=CC=CC=C6)C)O2)C)C(=O)C)O,262
CC1=C(C(=C2C(=C1O)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C)O,12
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=CC=C6)O,32.7
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=C(C=C6)Cl)O,55.1
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=CC=C6OC)O,82.7
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC(=C(C=C6)OC)OC)O,34.5
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=C(C(=CC=C6)OC)OC)O,50.7
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=C(C(=C(C=C6)OC)OC)OC)O,32.8
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC)O,8.2
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=C(C=CC(=C6)OC)OC)O,25.9
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=C(C=C(C=C6)OC)OC)O,25.9
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=C(C=C6)SC)O,53
CC1=C(C(=C2C(=C1OC)C3(C(=CC4=C(C3=O)C(=NN4C5=CC=CC=C5)C)O2)C)C(=O)C=CC6=C(C(=CC=C6)OC)OC)O,8.7
CC1=C(C(=C2C(=C1OC)C3(C(=CC4=C(CC35CO5)C(=NN4C6=CC=CC=C6)C)O2)C)C(=O)C=CC7=CC=CC=C7)O,5.5
CC1=C(C2=C(C(=C3C=C(NN3)C4=CC=C(C=C4)OC)C1=O)OC5=CC6=C(C(C52C)O)C(=NN6C7=CC=CC=C7)C)OC,101.6
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=CC=C6)O,60.6
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=C(C=C6)Cl)O,79.4
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=CC=CC=C6OC)O,64.9
CC1=C(C(=C2C(=C1OC)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C=CC6=C(C(=CC=C6)OC)OC)O,76.4
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)CO2,64.3
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)CO2,64.3
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)C(=CC5=CC=CC=C5OC)O2,4.8
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)C(=CC5=CC=C(C=C5)Br)O2,4.7
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)C(=CC5=CC=NC=C5)O2,7.7
CC1=C2C(=C3C(=C1O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C)C(=O)C(=CC5=CN=CC=C5)O2,7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSC4=NC5=CC=CC=C5S4)O,29.5
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSC4=NC5=CC=CC=C5O4)O,2
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSCC4=CC=CC=C4)O,2.1
CC1=CC=C(C=C1)CSCC(=O)C2=C3C(=C(C(=C2O)C)O)C4(C(=CC(=C(C4=O)C(=O)C)O)O3)C,2.1
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSCC4=C(C=CC=N4)C(=O)O)O,56.3
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSC4=NCCS4)OC,14.7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSC4=NC5=C(N4)C=C(C=C5)OC)OC,24.3
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSC4=NC5=CC=CC=C5O4)OC,23.7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)CSCCC(=O)O)OC,160.7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)OC(C(F)F)(F)Cl,7.2
CC1=C(C(=C2C(=C1OC(=O)C3=CC=CC=C3Br)C4(C(=CC(=C(C4=O)C(=O)C)O)O2)C)C(=O)C)OC(=O)C5=CC=CC=C5Br,7.8
CC1=C(C2(C3(C(=CC(=C(C3=O)C(=O)C)O)OC24C(C1=O)(O4)C(=O)C)C)O)O,28.7
CC1=C(C2(C3(C(=CC4=C(C3=O)C(=NN4C5=CC=CC=C5)C)OC26C(C1=O)(O6)C(=O)C)C)O)O,13.4
