Cytotoxicity, reducing the vaiability of mock-infected cells
CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)S(=O)(=O)C3=CC=CC=C3N,200000
C1=CC=C(C=C1)S(=O)(=O)N2C(=CC3=C2C=C(C=C3)Cl)C(=O)N,200000
C1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C=C2C(=O)N,200000
C1=CC(=C(C=C1Cl)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN)N,19000
CC(C)OC(=O)C1=CN(C2=C1C=CC(=C2)Cl)S(=O)(=O)C3=CC=CC=C3,200000
CCOC(=O)C1=CC2=CC=CC=C2N1S(=O)(=O)C3=CC=CC=C3,200000
CCOC(=O)C1=CC2=CC=CC=C2N1S(=O)(=O)C3=C(C=CC(=C3)Cl)N,50000
CCOC(=O)C1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3,32000
CC(C)(C)C1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,45000
CC(C)C1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,52000
C1=CC(=CC=C1SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)Cl,13000
CCOC(=O)C1=CC2=C(N1S(=O)(=O)C3=C(C=CC(=C3)Cl)N)C=C(C=C2)Cl,39000
CC1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,200000
CC1=CC(=CC=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,200000
CC1=CC=CC=C1S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,200000
CCOC(=O)C1=CC2=C(N1S(=O)(=O)C3=C(C=CC(=C3)Cl)[N+](=O)[O-])C=C(C=C2)Cl,31000
CC1=CC(=CC(=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN)C,200000
C1=CC(=CC=C1S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN)Cl,200000
C1=CC(=C(C=C1Cl)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN)N,13000
C1=CC(=CC=C1F)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,66000
C1=CC=C2C(=C1)C(=C(N2)C(=O)N)S(=O)(=O)C3=C(C=CC(=C3)Cl)N,3500
C1=CC(=C(C=C1Cl)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)N,4600
C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=CC=CC=C32)C(=O)N,200000
C1=CC(=C(C(=C1)Cl)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)Cl,40000
CC1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,129000
C1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,44000
CC1=CC(=CC(=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)C(C)O)C(=O)N)C,200000
CC1=CC(=CC(=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)C,15000
CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)SC3=CC=CC=C3N,200000
C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=CC=CC=C32,1.5012e+07
C1=CC(=C(C=C1Cl)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)N,33000
C1=CC(=C(C(=C1)Cl)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)Cl,61000
CCOC(=O)C1=CC2=CC=CC=C2N1S(=O)(=O)C3=C(C=CC(=C3)Cl)[N+](=O)[O-],100000
CCOC(=O)C1=CC2=CC=CC=C2N1S(=O)(=O)C3=CC=CC=C3[N+](=O)[O-],200000
C1=CC(=CC=C1F)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,13000
CC1=CC(=CC(=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)C,700
CC(C)OC(=O)C1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3,54000
CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)SC3=C(C=CC(=C3)Cl)N,200000
