Cytotoxicity against human HeLa cells expressing CD4, CCR5 after 3 days
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)Cl)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C6=CC=CC=C6N=N5,71000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=NC(=N5)C,300000
CC1=CN=C(S1)C2=C3C(=NC=C2)C(=CN3)C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5,251000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)OC)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C(=O)NC4=NC=CS4)C(=O)C5=CC=CC=C5,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C(=O)NC4=NC(=CS4)C)C(=O)C5=CC=CC=C5,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5N=C6C=CC=CC6=N5,74000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5N=CC=N5,300000
COC1=CC=CC(=N1)C2=C3C(=NC=C2)C(=CN3)C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5,174000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)Cl,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CC(=CS4)C)C(=O)C5=CC=CC=C5,48900
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=NC=CO4)C(=O)C5=CC=CC=C5,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=CC(=N5)C,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=CC=CC=N5,231000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=CN=CS5,300000
CC1CN(CCN1C(=O)C(=O)C2=CN(C3=C(C=CN=C23)OC)C)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CSC=C4)C(=O)C5=CC=CC=C5,94500
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=C(C=N5)C,150000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C6=CC=CC=C6N=N5,246000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=CC(=CS5)C,123000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=CS5,35000
CC1=CSC(=C1)C2=C3C(=NC=C2)C(=CN3)C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5,85000
CC(=O)C1=CC=C(S1)C2=C3C(=NC=C2)C(=CN3)C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5,268000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=CN=CC(=C23)OC)C(=O)C4=CC=CC=C4,6000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C(=O)O)C(=O)C4=CC=CC=C4,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5N=C6C=CC=CC6=N5,124000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=CO5,300000
CC1=CSC(=N1)C2=C3C(=NC=C2)C(=CN3)C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5,23000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CC=CS4)C(=O)C5=CC=CC=C5,300000
CC1=C2C(=NC=C1)C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)Cl,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=C(S5)C,28000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=CS5,150000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CN=CN=C4)C(=O)C5=CC=CC=C5,35300
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=NC=CN=C4)C(=O)C5=CC=CC=C5,15300
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C(=O)N(C)OC)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CC5=CC=CC=C5S4)C(=O)C6=CC=CC=C6,170500
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=NC=CS4)C(=O)C5=CC=CC=C5,300000
