name,size,r2_mean,r2_median,r2_std,pcc_mean,pcc_median,pcc_std
ec50_homosapiens_gproteincoupledreceptor120,72,-0.134,-0.101,0.150,0.095,0.103,0.111
ec50_homosapiens_gproteincoupledreceptor35,218,0.176,0.213,0.133,0.544,0.556,0.101
ec50_homosapiens_gproteincoupledreceptor54,135,0.432,0.479,0.171,0.768,0.791,0.172
ec50_homosapiens_gproteincoupledreceptor55,193,-0.091,-0.075,0.095,0.076,0.091,0.092
ec50_homosapiens_gproteinsignallingregulator19,61,-0.089,-0.055,0.116,0.058,0.068,0.097
ec50_homosapiens_guaninenucleotidebindingproteingkalpha3subunit,20,-1.190,-0.242,1.420,-0.094,-0.074,0.206
ec50_homosapiens_heatshockfactorprotein1,45,0.259,0.299,0.167,0.646,0.675,0.092
ec50_homosapiens_heatshockprotein90hsp90,21,-0.062,-0.016,0.167,0.303,0.322,0.203
ec50_homosapiens_histaminereceptorh4,70,-0.020,-0.014,0.099,0.207,0.214,0.126
ec50_homosapiens_histonedeacetylase1hdac1,18,-0.189,-0.121,0.257,0.102,0.107,0.201
ec50_homosapiens_integrinalpha4beta7,17,-0.211,-0.126,0.422,0.122,0.144,0.185
ec50_homosapiens_intestinalalkalinephosphatase,242,-0.089,-0.003,0.250,0.212,0.222,0.094
ec50_homosapiens_kappaopioidreceptor,1207,-0.101,-0.021,0.193,0.430,0.450,0.082
ec50_homosapiens_kinesinlikeprotein1,14,0.411,0.484,0.331,0.769,0.790,0.129
ec50_homosapiens_lxralpha,396,-0.057,-0.029,0.140,0.178,0.188,0.107
ec50_homosapiens_melanocortinreceptor3,344,0.216,0.232,0.090,0.536,0.555,0.115
ec50_homosapiens_metabotropicglutamatereceptor1,41,0.507,0.517,0.121,0.796,0.803,0.049
ec50_homosapiens_metabotropicglutamatereceptor5mglur5,525,-0.018,0.003,0.115,0.229,0.248,0.112
ec50_homosapiens_metabotropicglutamatereceptor6,22,0.022,0.078,0.222,0.429,0.437,0.153
ec50_homosapiens_mitogenactivatedproteinkinase14,29,0.493,0.505,0.106,0.902,0.906,0.026
ec50_homosapiens_mitogenactivatedproteinkinasekinasekinasekinase2,363,-0.155,-0.091,0.187,0.101,0.091,0.105
ec50_homosapiens_muscarinicacetylcholinereceptorm2,11,-0.413,-0.203,0.661,0.165,0.170,0.211
ec50_homosapiens_mutypeopioidreceptormu,504,-0.211,-0.087,0.357,0.364,0.401,0.135
ec50_homosapiens_neuropeptideyreceptortype1,74,0.405,0.569,0.277,0.869,0.871,0.012
ec50_homosapiens_neuropeptideyreceptortype2,98,0.725,0.738,0.047,0.882,0.879,0.014
ec50_homosapiens_nicotinicacetylcholinereceptoralpha6alpha3beta4,65,0.451,0.494,0.164,0.766,0.779,0.050
ec50_homosapiens_nitricoxidesynthaseendothelialandbrain,92,-0.168,-0.113,0.219,0.141,0.178,0.126
ec50_homosapiens_nuclearreceptorroralpha,144,-0.107,-0.068,0.134,0.103,0.108,0.103
ec50_homosapiens_nuclearreceptorsubfamily1groupdmember1,62,-0.067,-0.038,0.157,0.224,0.255,0.121
ec50_homosapiens_nucleotidebindingoligomerizationdomaincontaining1,546,0.277,0.441,0.262,0.528,0.763,0.320
ec50_homosapiens_parathyroidhormonereceptor,11,-0.254,-0.161,0.359,0.237,0.338,0.314
ec50_homosapiens_prostaglandine2receptorep2subtypeep2,72,0.173,0.188,0.119,0.495,0.507,0.098
ec50_homosapiens_prostanoidfpreceptor,13,-0.305,-0.146,0.529,0.146,0.134,0.227
ec50_homosapiens_purinergicreceptorp2y11,21,-0.237,-0.127,0.351,0.197,0.188,0.165
ec50_homosapiens_purinergicreceptorp2y14,59,-0.121,-0.063,0.159,0.100,0.151,0.161
ec50_homosapiens_rasprotein,362,-0.149,-0.074,0.209,0.002,0.003,0.054
ec50_homosapiens_serinethreonineproteinkinasepak4,36,0.112,0.134,0.114,0.442,0.449,0.080
ec50_homosapiens_serotonin35ht3receptor,11,0.042,0.118,0.311,0.517,0.536,0.188
ec50_homosapiens_sodiumdependentglucosecotransporter1sglt1,15,0.018,0.088,0.292,0.405,0.410,0.226
ec50_homosapiens_somatostatinreceptor,57,0.110,0.144,0.107,0.433,0.460,0.137
ec50_homosapiens_steroidogenicfactor1,184,0.236,0.283,0.133,0.590,0.614,0.085
ec50_homosapiens_telomerasereversetranscriptase,94,0.204,0.219,0.092,0.562,0.572,0.051
ec50_homosapiens_thrombopoietinreceptor,255,0.093,0.136,0.118,0.421,0.426,0.095
ec50_homosapiens_tolllikereceptor2,14,0.348,0.431,0.267,0.762,0.775,0.074
ec50_homosapiens_tolllikereceptor8,46,0.372,0.383,0.110,0.703,0.707,0.054
ec50_homosapiens_tyrosineproteinkinasejak2,39,0.066,0.091,0.144,0.375,0.405,0.127
ec50_homosapiens_vascularendothelialgrowthfactorreceptor2,18,-0.189,-0.049,0.339,0.336,0.345,0.143
ec50_homosapiens_vasopressinreceptor,100,0.040,0.064,0.114,0.417,0.438,0.138
ec50_homosapiens_vitamindreceptor,119,0.158,0.191,0.103,0.487,0.493,0.051
ec50_humanherpesvirus8_lana,67,-0.108,-0.050,0.152,0.128,0.141,0.107
ec50_musmusculus_androgenreceptor,16,0.099,0.244,0.419,0.572,0.595,0.168
ec50_musmusculus_fructose16bisphosphatase1,27,0.056,0.126,0.247,0.466,0.502,0.130
ec50_musmusculus_glucocorticoidreceptor,13,-0.061,0.066,0.424,0.496,0.509,0.132
ec50_musmusculus_melanocortinreceptor4,287,-0.099,-0.018,0.199,0.411,0.405,0.078
ec50_musmusculus_peroxisomeproliferatoractivatedreceptoralpha,78,-0.160,-0.080,0.258,0.131,0.152,0.138
ec50_musmusculus_rasrelatedc3botulinumtoxinsubstrate1,449,0.001,0.047,0.172,0.277,0.310,0.110
ec50_musmusculus_traceamineassociatedreceptor1taar1,47,-0.266,-0.140,0.351,0.120,0.146,0.158
ec50_mycobacteriumtuberculosish37rv_dnarecombinationproteinreca,539,-0.176,-0.111,0.169,0.059,0.064,0.053
ec50_oryctolaguscuniculus_cathepsink,17,-0.243,-0.132,0.361,0.128,0.181,0.278
ec50_rattus_bombesin,18,0.035,0.075,0.205,0.389,0.409,0.215
ec50_rattus_cckbr,12,-0.768,-0.468,0.940,-0.141,-0.122,0.360
ec50_rattus_muscarinicreceptorm1andm2,79,0.329,0.338,0.118,0.631,0.645,0.092
ec50_rattus_nociceptinorphaninfqnopreceptor,15,0.250,0.281,0.292,0.684,0.690,0.088
ec50_rattus_ptgir,14,0.038,0.104,0.241,0.479,0.477,0.134
ec50_rattusnorvegicus_adenosinereceptorsa2aa2a,39,0.017,0.068,0.191,0.340,0.358,0.181
ec50_rattusnorvegicus_d2dopaminereceptor,60,0.080,0.118,0.138,0.437,0.451,0.087
ec50_rattusnorvegicus_deltakappaopioidreceptor,14,-0.005,0.066,0.282,0.450,0.499,0.192
ec50_rattusnorvegicus_glutamatenmdareceptorsubunitepsilon3zeta1,72,0.073,0.123,0.165,0.399,0.408,0.123
ec50_rattusnorvegicus_hexokinasetypeiv,28,-0.063,-0.027,0.205,0.274,0.297,0.187
ec50_rattusnorvegicus_inositol145trisphosphatereceptortype1,17,0.104,0.217,0.663,0.595,0.600,0.121
ec50_rattusnorvegicus_ionotropicglutamatereceptornmda12d,59,0.297,0.325,0.125,0.631,0.636,0.089
ec50_rattusnorvegicus_metabotropicglutamatereceptor,77,0.339,0.371,0.131,0.654,0.665,0.078
ec50_rattusnorvegicus_serotonin5htreceptor,40,0.426,0.429,0.084,0.703,0.707,0.063
ec50_rattusnorvegicus_serotonintransportersert,16,0.002,0.111,0.324,0.490,0.522,0.149
ec50_rattusnorvegicus_transientreceptorpotentialcationchannelsubfamilymmember8,16,-0.336,-0.172,0.663,0.184,0.214,0.200
ec50_simianvirus40_largetantigen,89,-0.208,-0.110,0.281,0.222,0.243,0.095
ec50_susscrofa_cardiacalphatropomyosin,86,-0.161,-0.117,0.199,0.123,0.146,0.145
ic50_alicyclobacillusacidocaldarius_squalenehopenecyclase,18,0.494,0.541,0.191,0.797,0.806,0.099
ic50_arabidopsisthaliana_cycloartenolsynthase,20,-0.285,-0.231,0.256,-0.057,-0.059,0.172
ic50_bacilluscereus_phospholipasec,12,0.287,0.333,0.242,0.698,0.714,0.115
ic50_bostaurus_adrenergicalpha2,41,-0.033,0.046,0.253,0.296,0.370,0.206
ic50_bostaurus_angiotensiniitype1aat1areceptor,263,0.009,0.035,0.095,0.289,0.304,0.095
ic50_bostaurus_arachidonate5lipoxygenase,154,-0.084,-0.047,0.147,0.212,0.236,0.083
ic50_bostaurus_campdependentproteinkinasepka,244,0.197,0.223,0.111,0.495,0.536,0.119
ic50_bostaurus_cytosolicphospholipasea2,44,0.367,0.394,0.115,0.689,0.703,0.067
ic50_bostaurus_geranylgeranyltransferaseggtasei,132,-0.076,-0.047,0.119,0.134,0.141,0.101
ic50_bostaurus_inositol1or4monophosphatase1,17,0.259,0.302,0.219,0.655,0.692,0.153
ic50_bostaurus_matrixmetalloproteinase13,13,-0.010,0.099,0.452,0.563,0.591,0.183
ic50_bostaurus_monoamineoxidasea,20,-0.062,-0.008,0.216,0.297,0.316,0.142
ic50_bostaurus_phosphodiesterase1,11,0.598,0.673,0.259,0.879,0.915,0.155
ic50_bostaurus_purinenucleosidephosphorylasepnp,95,-0.153,-0.109,0.169,0.037,0.044,0.126
ic50_bostaurus_serotonin2a5ht2areceptor,107,0.007,0.046,0.161,0.354,0.366,0.110
ic50_caenorhabditiselegans_proteindaf12isoforma,230,-167215.242,-144366.322,74424.691,0.095,0.100,0.022
ic50_caldocellumsaccharolyticum_betaglucosidasea,33,-0.302,-0.182,0.308,0.030,0.029,0.126
ic50_canislupusdingo_cgmpspecific35cyclicphosphodiesterase,107,0.273,0.295,0.103,0.602,0.614,0.059
ic50_caviacutleri_mukappaopioidreceptor,890,-0.065,-0.031,0.109,0.111,0.123,0.081
ic50_caviacutleri_tacr3,21,-0.121,-0.019,0.265,0.260,0.247,0.219
ic50_caviaporcellus_histamineh1receptor,180,0.043,0.066,0.098,0.324,0.330,0.102
ic50_clostridiumbotulinum_botulinumneurotoxintypea,326,-0.015,0.011,0.098,0.246,0.267,0.096
ic50_cryptococcusneoformans_imidazoleglycerolphosphatedehydratase,13,-0.263,-0.186,0.255,-0.082,-0.083,0.230
ic50_eimeriatenella_cgmpdependentproteinkinase,251,0.183,0.204,0.111,0.544,0.545,0.067
ic50_electrophoruselectricus_acetylcholinesterase,3364,0.014,0.046,0.124,0.332,0.375,0.115
ic50_enterobactercloacae_betalactamaseclassc,35,0.183,0.215,0.135,0.523,0.536,0.117
ic50_epsteinbarrvirusstraingd1_bzlf1,126,0.007,-0.009,0.146,0.292,0.428,0.298
ic50_equuscaballus_butyrylcholinesterase,731,0.168,0.212,0.130,0.554,0.578,0.077
ic50_escherichiacoli_1deoxydxylulose5phosphatereductoisomerase,87,0.053,0.071,0.108,0.336,0.334,0.100
ic50_escherichiacoli_5enolpyruvylshikimate3phosphatesynthase,14,-0.088,0.018,0.335,0.360,0.341,0.220
ic50_escherichiacoli_betaketoacylacpsynthaseiiifabh,71,-0.183,-0.104,0.259,0.060,0.097,0.153
ic50_escherichiacoli_bifunctionalproteinglmu,118,0.290,0.315,0.098,0.653,0.665,0.068
ic50_escherichiacoli_dihydrofolatereductase,93,0.095,0.120,0.136,0.369,0.415,0.173
ic50_escherichiacoli_dnagyrase,292,-0.038,-0.008,0.134,0.179,0.204,0.108
ic50_escherichiacoli_murf,14,-0.364,0.080,1.452,0.425,0.484,0.224
ic50_escherichiacoli_rnapolymerasebetasubunitec2776,23,-0.310,-0.259,0.362,0.191,0.204,0.134
ic50_escherichiacoli_thymidinephosphorylasetp,27,0.135,0.159,0.190,0.522,0.541,0.133
ic50_escherichiacolistrk12substrmg1655_exonucleasevrecbcdcomplexalphachain,70,-0.211,-0.118,0.224,0.141,0.143,0.077
ic50_helicobacterpylori_glutamateracemase,11,-0.132,0.178,1.518,0.529,0.742,0.397
ic50_hepatitiscvirus_hcvns3ns4aserineproteinase,20,-0.117,-0.037,0.228,0.275,0.257,0.208
ic50_hepatitiscvirus_hepatitiscvirusserineproteasens3ns4a,338,-0.013,0.024,0.115,0.387,0.407,0.125
ic50_hepatitiscvirus_ns3,117,-0.097,-0.069,0.136,0.200,0.202,0.087
ic50_hepatitiscvirusgenotype3aisolatenzl1_rnadirectedrnapolymerasens5b,28,-0.167,-0.100,0.200,0.027,0.053,0.158
ic50_homosapiens_11betahydroxysteroiddehydrogenase1,3595,-0.078,-0.009,0.182,0.295,0.326,0.102
ic50_homosapiens_17betahydroxysteroiddehydrogenase517betahsd5akr1c3,40,0.165,0.187,0.136,0.477,0.505,0.139
ic50_homosapiens_1acylglycerol3phosphateoacyltransferasebeta,106,-0.022,0.042,0.235,0.333,0.381,0.172
ic50_homosapiens_5hydroxytryptaminereceptor2c5ht2c,580,-0.056,-0.022,0.141,0.188,0.197,0.106
ic50_homosapiens_5lipoxygenase5lipoxygenaseactivatingprotein,19,-0.157,-0.102,0.222,0.062,0.061,0.114
ic50_homosapiens_acetylcoacarboxylase2acc2,2757,0.070,0.074,0.072,0.339,0.354,0.100
ic50_homosapiens_acylcholesterolacyltransferase1acat1,326,0.151,0.164,0.088,0.486,0.515,0.110
ic50_homosapiens_adenosinekinase,561,0.068,0.097,0.124,0.355,0.396,0.110
ic50_homosapiens_adenosinereceptor,304,-0.019,0.015,0.120,0.287,0.296,0.122
ic50_homosapiens_adenosinereceptora2a,193,0.223,0.244,0.100,0.552,0.570,0.081
ic50_homosapiens_adenosylhomocysteinase,134,-0.055,-0.020,0.135,0.196,0.219,0.106
ic50_homosapiens_adrenergicreceptor,367,0.153,0.162,0.101,0.479,0.503,0.102
ic50_homosapiens_aldoketoreductasefamily1memberc1,61,0.084,0.112,0.133,0.435,0.450,0.134
ic50_homosapiens_alkalinephosphatasetissuenonspecificisozyme,454,0.076,0.101,0.092,0.466,0.490,0.106
ic50_homosapiens_alktyrosinekinasereceptor,1297,0.068,0.095,0.114,0.415,0.442,0.092
ic50_homosapiens_alphaketoglutaratedependentdioxygenasealkbhomolog3,26,-0.018,0.044,0.173,0.371,0.381,0.102
ic50_homosapiens_amiloridesensitivecationchannel3,49,0.244,0.307,0.234,0.668,0.685,0.101
ic50_homosapiens_anandamideamidohydrolase,25,0.370,0.399,0.217,0.724,0.736,0.101
ic50_homosapiens_anoctamin1,15,0.042,0.099,0.294,0.501,0.502,0.154
ic50_homosapiens_antiestrogenbindingsiteaebs,18,0.369,0.392,0.144,0.699,0.710,0.087
ic50_homosapiens_apoptoticpeptidaseactivatingfactor1,433,-0.103,-0.039,0.173,0.121,0.140,0.082
ic50_homosapiens_arginase1,42,0.229,0.269,0.159,0.624,0.636,0.078
ic50_homosapiens_arginase2mitochondrial,29,0.454,0.477,0.131,0.752,0.764,0.068
ic50_homosapiens_arylaminenacetyltransferase1,20,0.013,0.045,0.209,0.374,0.384,0.164
ic50_homosapiens_atpasefamilyaaadomaincontainingprotein2,88,0.369,0.425,0.190,0.826,0.839,0.047
ic50_homosapiens_bcl2relatedproteina1,63,-0.049,-0.010,0.147,0.226,0.242,0.116
ic50_homosapiens_bclxlbak,580,-0.253,-0.210,0.276,0.742,0.745,0.031
ic50_homosapiens_bcrablfusionprotein,136,0.140,0.183,0.118,0.577,0.599,0.096
ic50_homosapiens_betainetransporter,18,-0.088,0.013,0.339,0.279,0.326,0.265
ic50_homosapiens_betasecretase2bace2,721,0.028,0.049,0.103,0.323,0.359,0.114
ic50_homosapiens_bonemorphogeneticprotein1,334,0.087,0.122,0.113,0.394,0.413,0.101
ic50_homosapiens_brafmekerk,91,-0.012,0.050,0.199,0.386,0.410,0.108
ic50_homosapiens_calciumactivatedpotassiumchannelalphabeta1,59,0.039,0.100,0.172,0.433,0.451,0.099
ic50_homosapiens_calciumsensingreceptorcasr,22,-0.106,0.002,0.352,0.305,0.337,0.174
ic50_homosapiens_calpain2mcalpain,12,0.284,0.362,0.324,0.717,0.767,0.163
ic50_homosapiens_campdependentproteinkinasepka,139,0.031,0.099,0.182,0.441,0.461,0.146
ic50_homosapiens_cannabinoidreceptor,74,0.174,0.181,0.114,0.491,0.501,0.089
ic50_homosapiens_cannabinoidreceptor1cb1,1115,0.021,0.082,0.188,0.458,0.486,0.118
ic50_homosapiens_cannabinoidreceptor2cb2,697,0.106,0.163,0.198,0.478,0.523,0.147
ic50_homosapiens_carbonicanhydrasexiv,19,-0.164,-0.049,0.358,0.230,0.265,0.241
ic50_homosapiens_caseinkinaseii,106,0.600,0.616,0.095,0.834,0.835,0.020
ic50_homosapiens_caspase1,469,0.060,0.098,0.118,0.531,0.550,0.103
ic50_homosapiens_caspase8,238,0.063,0.121,0.132,0.485,0.527,0.151
ic50_homosapiens_cateninbeta1,25,0.052,0.116,0.192,0.469,0.481,0.102
ic50_homosapiens_cathepsinv,117,0.112,0.134,0.093,0.465,0.494,0.097
ic50_homosapiens_cbp,131,-0.104,-0.014,0.283,0.283,0.296,0.123
ic50_homosapiens_ccchemokinereceptortype3,868,0.333,0.344,0.070,0.639,0.646,0.034
ic50_homosapiens_ccr5muopioidreceptorcomplex,170,-0.019,0.018,0.134,0.323,0.339,0.086
ic50_homosapiens_cdc7dbf4celldivisioncycle7relatedproteinkinaseactivatorofsphasekinase,167,0.123,0.164,0.129,0.421,0.452,0.114
ic50_homosapiens_cdc7kinase,72,0.015,0.042,0.151,0.318,0.332,0.109
ic50_homosapiens_cdk1cycline,827,-0.015,0.017,0.132,0.229,0.246,0.099
ic50_homosapiens_celldivisioncycle25bisoform2,142,-0.284,-0.223,0.244,-0.014,-0.006,0.093
ic50_homosapiens_celldivisioncycle7relatedproteinkinase,36,-0.160,-0.124,0.166,0.028,0.031,0.129
ic50_homosapiens_cgmpdependent35cyclicphosphodiesterase,605,0.484,0.510,0.140,0.807,0.827,0.064
ic50_homosapiens_chondroitinsulfatenacetylgalactosaminyltransferase1,17,-0.137,-0.062,0.214,0.155,0.180,0.199
ic50_homosapiens_coagulationfactoriiifactorviiafviia,76,-0.390,-0.211,0.535,0.494,0.538,0.204
ic50_homosapiens_coagulationfactorvii,280,0.174,0.201,0.098,0.500,0.514,0.125
ic50_homosapiens_corticotropinreleasingfactorreceptor1,605,-0.216,-0.088,0.339,0.181,0.242,0.140
ic50_homosapiens_cpla2c2,342,-0.029,0.009,0.151,0.318,0.332,0.105
ic50_homosapiens_craf,222,0.317,0.341,0.089,0.617,0.628,0.053
ic50_homosapiens_cyclinbcyclindependentkinase1cdk1g2mitoticspecificcyclinb2g2mitoticspecificcyclinb3,185,0.053,0.070,0.070,0.354,0.376,0.125
ic50_homosapiens_cyclindependentkinase7cdk7,63,-0.085,-0.026,0.284,0.287,0.311,0.125
ic50_homosapiens_cyclindependentkinase9,30,-0.080,-0.036,0.190,0.245,0.245,0.146
ic50_homosapiens_cyclophilinbcypb,16,0.709,0.709,0.070,0.880,0.886,0.037
ic50_homosapiens_cysltr2,39,0.207,0.229,0.121,0.555,0.556,0.082
ic50_homosapiens_cysticfibrosistransmembraneconductanceregulator,92,0.191,0.205,0.106,0.504,0.521,0.092
ic50_homosapiens_cystineglutamatetransporter,23,0.616,0.647,0.131,0.908,0.913,0.029
ic50_homosapiens_cytidinedeaminasecda,14,-0.308,-0.224,0.370,-0.037,-0.051,0.233
ic50_homosapiens_cytochromecyp26a1,159,0.235,0.252,0.104,0.558,0.577,0.075
ic50_homosapiens_cytochromep4501a2,718,-0.017,0.009,0.127,0.228,0.243,0.093
ic50_homosapiens_cytochromep4502c18,14,-0.170,-0.061,0.397,0.258,0.267,0.178
ic50_homosapiens_cytochromep4502e1,43,0.053,0.092,0.148,0.390,0.427,0.131
ic50_homosapiens_daminoacidoxidasedaao,329,0.286,0.318,0.129,0.617,0.635,0.072
ic50_homosapiens_deoxyuridine539triphosphatenucleotidohydrolasedutpase,235,0.019,0.054,0.131,0.400,0.422,0.113
ic50_homosapiens_diacylglyceroloacyltransferase1,886,0.041,0.090,0.132,0.399,0.425,0.087
ic50_homosapiens_diacylglyceroloacyltransferase2,216,-0.025,0.005,0.100,0.203,0.219,0.098
ic50_homosapiens_dihydrofolatereductasedhfr,15,-0.213,-0.107,0.303,0.146,0.116,0.183
ic50_homosapiens_dipeptidylpeptidaseiianddipeptidylpeptidaseivdpp2anddpp4,801,0.035,0.061,0.109,0.307,0.329,0.090
ic50_homosapiens_dipeptidylpeptidaseiv,28,-0.077,-0.017,0.187,0.203,0.242,0.225
ic50_homosapiens_dipeptidylpeptidaseviii,914,-0.042,0.016,0.160,0.304,0.338,0.108
ic50_homosapiens_dnacytosine5methyltransferase3b,32,-0.106,-0.029,0.261,0.256,0.258,0.156
ic50_homosapiens_dopamined2receptorandserotonin1areceptor,485,0.049,0.087,0.109,0.337,0.367,0.116
ic50_homosapiens_dopaminereceptord2lneurotensinreceptornts1,102,0.062,0.070,0.078,0.356,0.352,0.100
ic50_homosapiens_dualspecificitymitogenactivatedproteinkinasekinase1,184,-0.029,0.000,0.107,0.216,0.230,0.093
ic50_homosapiens_dualspecificityphosphatasecdc25b,487,0.064,0.063,0.118,0.339,0.343,0.163
ic50_homosapiens_dualspecificityproteinkinasettk,481,0.035,0.073,0.124,0.342,0.361,0.089
ic50_homosapiens_dualspecificityproteinphosphatase1,166,-0.149,-0.107,0.192,0.078,0.118,0.146
ic50_homosapiens_dualspecificityproteinphosphatasevhr,627,-0.067,-0.023,0.136,0.174,0.186,0.092
ic50_homosapiens_dualspecificityproteinphosphatasevhxvhx,24,0.205,0.234,0.154,0.591,0.592,0.080
ic50_homosapiens_elongationofverylongchainfattyacidsprotein6,91,0.018,0.041,0.102,0.279,0.289,0.119
ic50_homosapiens_endoplasmicreticulumaminopeptidase2,31,-0.105,-0.061,0.133,0.085,0.107,0.131
ic50_homosapiens_endothelialpasdomaincontainingprotein1,170,-0.070,-0.015,0.140,0.130,0.134,0.087
ic50_homosapiens_endothelinreceptoretaetb,2208,-0.064,-0.036,0.097,0.136,0.133,0.086
ic50_homosapiens_ephrintypebreceptor4ephb4,332,0.080,0.089,0.094,0.428,0.440,0.108
ic50_homosapiens_epidermalgrowthfactorreceptor,5137,0.007,0.046,0.126,0.349,0.394,0.114
ic50_homosapiens_fattyacidsynthase,19,0.113,0.139,0.154,0.477,0.491,0.141
ic50_homosapiens_fibroblastgrowthfactorreceptor,11,0.056,0.249,0.492,0.636,0.664,0.173
ic50_homosapiens_fibroblastgrowthfactorreceptor2,217,0.292,0.312,0.096,0.604,0.616,0.065
ic50_homosapiens_fibronectinreceptorbetaintegrinalpha4,1696,-0.038,-0.006,0.102,0.296,0.345,0.128
ic50_homosapiens_fibronectinreceptorbetaintegrinalpha4vcam1,11,-0.028,0.063,0.382,0.522,0.526,0.168
ic50_homosapiens_fibronectinreceptorbetaintegrinalpha5,337,-0.022,0.031,0.160,0.348,0.426,0.229
