Displacement of [3H]-3-[5-(pyrid-2-ylmethoxy)-3-tert-butylthio-1-benzylindol-2-yl]-2,2-dimethylpropionic acid from FLAP in human polymorphonuclear cell membranes after 1 hr by scintillation counting
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,-0.07
CC1=C(N=CC=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC,-0.5
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=NC=C(C=C5)C(F)(F)F,-0.54
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=[N+](C=C(C=C5)C)[O-])C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,-0.72
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)C(=O)CC(C)(C)C,-0.93
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)C(=O)CC6=CC=CC=C6,-3.93
CC1=CC(=NN1C)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC,-1.92
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=NC=CC(=C5)C(F)(F)F,-0.43
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CC(=CN=C5)F,0.73
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C=C3CC(C)(C)C(=O)O,-0.48
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC,0.51
CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC4=C(C=CC(=C4)F)C=C3)CC5=CC=C(C=C5)C6=CN=C(C=C6)OC)CC(C)(C)C(=O)O,-2.83
CC1=CC(=C(N=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)C,-1.52
CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC=C(C=C3)Cl)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,-0.86
CCOC1=NC(=CS1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,0.2
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CC=CC=N5,0.72
CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CN4C=CC=CC4=N3)CC5=CC=C(C=C5)C6=CN=C(C=C6)OC)CC(C)(C)C(=O)O,0.38
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=NC=C(C=C5)C,0
CCOC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)S(=O)C(C)(C)C,-1.25
CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC=C(C=C3)C(=O)N)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,-1.29
CC1=NN(C(=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)C,-2.11
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=NC(=CC=C5)C(F)(F)F,-0.8
CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC4=CC=CC=C4N3)CC5=CC=C(C=C5)C6=CN=C(C=C6)OC)CC(C)(C)C(=O)O,-3.19
CC1=NC(=CC=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC,0.45
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=NC(=CC=C5)OC,0.2
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)C(F)(F)F,-0.62
CCOC1=CC=CC(=N1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=NC=C(C=C5)C)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,-0.19
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=CC=C5,0.85
CC1=CN=C(C=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CNC(=O)C=C5,1.38
CC1=CC(=NC=C1)COC2=CC3=C(C=C2)N(C(=C3SC(C)(C)C)CC(C)(C)C(=O)O)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC,-0.6
