Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)[N+](=O)[O-])F,5.21
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5[N+](=O)[O-])F,5.53
CC1=CC(=C(C(=C1)C)C=NNC(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCCCC5)OC)F)C,6.91
CC(C)C=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F,6.19
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NNCC5=C(C=C(C=C5)F)F)F,7.14
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,7.87
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,9.1
CCC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,7.54
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,6.91
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)OC(F)(F)F)F,6.01
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,7.89
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=C(C=C5)F)F)F,7.79
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5F)F,8.1
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=CC=C5)[N+](=O)[O-])F,5.35
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CN=CC=C5)F,6.55
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NNC=C5C=CC=N5)F,6.23
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)C(F)(F)F)F,6.59
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CO5)F,6.37
CC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,7.63
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CC=C5[N+](=O)[O-])F,5.28
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CO5)F,5.52
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,7.93
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,7.79
