Antitrypanosomal activity against Trypanosoma brucei rhodesiense ST1B900 trypomastigote infected in NMR1 mouse assessed as inhibition of parasitemia at 50 mg/kg, ip administered on day 3 post infection for 4 days
CCC(=O)N(CC1=CC=CC(=C1)CN)C2CCN(CC2)CCC3=CC=CC=C3.C(=O)(C(F)(F)F)O,9270
CCC(=O)N(CC1=CC(=CC=C1)C[NH+]=C(N)N)C2CCN(CC2)CCC3=CC=CC=C3.C(=O)(C(F)(F)F)[O-],98813
CC(C)(C)OC(=O)NCCNC1CCN(CC1)CCC2=CC=CC=C2,25637
CC(C)(C)OC(=O)NCCCCNC1CCN(CC1)CCC2=CC=CC=C2,10933
CC(C)(C)OC(=O)NCCCCCCCCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,156
CCC(=O)N(CCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,7603
CC(C)(C)OC(=O)NCC1=CC(=CC=C1)CNC2CCN(CC2)CCC3=CC=CC=C3,503
CC(C)(C)OC(=O)NCCCCCCCCNC1CCN(CC1)CCC2=CC=CC=C2,119
CCC(=O)N(CCCCCCCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,5968
CCC(=O)N(CCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,65643
CCC(=O)N(CCCCNC(=O)OC(C)(C)C)C1CCN(CC1)CCC2=CC=CC=C2,16659
CCC(=O)N(CCCCCN)C1CCN(CC1)CCC2=CC=CC=C2.C(=O)(C(F)(F)F)O,21239
