DNDI: Cytotoxicity in vitro, against rat skeletal myoblast (L-6) cells
C1CC1C(=O)N(CC2=CN=CC=C2)C3=CC(=CC(=C3)C4=NC5=CC=CC=C5S4)F,76870
CC(=O)N(CC1=CN=CC=C1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,71800
CS(=O)(=O)N(CC1=CN=CN1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,21920
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=N4,67980
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=NC=C(N=C3)C4=CC=CC=C4,58680
CS(=O)(=O)N(CC1=CN=CC=C1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,100000
CS(=O)(=O)N(CC1=CN=CN1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,100000
CC(=O)N(CC1=CN=CN1)C2=CC(=CC(=C2)C3=NC4=CC=CC=C4S3)F.C(=O)O,100000
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)CNC3CCCN(C3)C.C(=O)O,45660
CN(C)S(=O)(=O)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=C4,100000
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(C=C3)C4=CC=CS4,100000
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CC=C(S3)C4=CC=CC=N4,65640
CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=NOC)C)N4C=CN=C4,100000
C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC(=C3)F)N(CC4=CN=CC=C4)C(=O)CN.Cl,100000
CCN(CC1=CN=CC=C1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,54490
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)CN(C)C3CCN(CC3)C,51480
CS(=O)(=O)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=C4,100000
C1=CC=C(C=C1)C2=CN=C(C=N2)C(=O)NCCC3=CN=CN3,100000
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4,100000
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN(N=C3)C4=CC=CC=N4,100000
CCS(=O)(=O)N(CC1=CN=CC=C1)C2=CN=CC(=C2)C3=NC4=CC=CC=C4S3,100000
C1=CC=C(C=C1)C2=NC=C(S2)C(=O)NC3=CC=CC=C3N4C=CN=C4,100000
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CC(=CS3)C4=CC=CC=C4,100000
CCN(CC1=CN=CC=C1)C2=CC(=CC(=C2)C3=NC4=CC=CC=C4S3)F,57740
CC1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=C4,86640
CC(=O)N(CC1=CN=CN1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,63440
CC(=O)N(CC1=CN=CN1)C2=C(C=C(C=C2)C3=CC=C(C=C3)F)F,69890
CS(=O)(=O)N(CC1=CN=CN1)C2=CC(=CC(=C2)C3=NC4=CC=CC=C4S3)F,66870
CC(=NOC)C1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=NC(=CN=C3)C4=CC=CC=C4,4160
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NCCC3=CN=CN3,100000
CCOC(CN1C=CN=C1)COC2=CC3=C(C=C2)C=C(C=C3)Br.C(=O)O,44230
CS(=O)(=O)N(CC1=CN=CC=C1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,100000
CC(C)CC1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(S3)C4=CC=CC=C4,75970
CC(C)CC1=CC(=C(C=C1)N2C=CN=C2)NC(=O)C3=CN=C(N=C3)C4=CC=CC=C4,100000
