Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCNC(=O)OC(C)(C)C,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,3100
CC1=C(C(=O)C2=CC=CC=C2C1=O)N3CCN(CC3)CCCN(C)C,57000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCN,57000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCCNCCCN,28000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCN3CCN(CC3)CCCN,39000
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCN,28000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCNC(=O)OC(C)(C)C,25000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCNC(=O)OC(C)(C)C,50000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,1700
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)C,57000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCCN,57000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)O,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,450
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCN,12000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)O,50000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,2300
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,2000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,1120
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,1400
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,2300
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,11000
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCNC(=O)OC(C)(C)C,25000
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,4500
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCNC(=O)OC(C)(C)C,25000
