Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O,300
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4Cl)Cl)CC(=O)O,100
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)F)F)CC(=O)O,5
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=C(C=C4S3)Cl)Cl)CC(=O)O,170
C1C2(C3=C(N1CC4=CC=C(C=C4)F)C=CC(=C3)F)C(=O)NC(=O)N2,140
C1C2(C3=C(N1CC4=NC5=CC=CC=C5S4)C=CC(=C3)Cl)C(=O)NC(=O)N2,37
CC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,320
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Br)CC(=O)O,26
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC=C4Cl)CC(=O)O,3.5
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4F)F)CC(=O)O,10
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC(=C4S3)C(F)(F)F)CC(=O)O,10
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Br)CC(=O)O,15
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)C(F)(F)F)C(=N3)CC(=O)O,18
C1=CC=C2C(=C1)C(=NN(C2=O)CSC3=NC4=CC=CC=C4S3)CC(=O)O,81
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)C(F)(F)F)C(=N3)CC(=O)O,12
C1=CC=C2C(=C1)C(=NN(C2=O)CCC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,460
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)F)CC(=O)O,68
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CC(=O)O,70
CC1=C(C2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,320
COC1=CC2=C(C=C1C(F)(F)F)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4300
COC1=CC2=C(C(=C1)C(F)(F)F)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,660
CC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)C,5.9
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Br)C(=N3)CC(=O)O,690
CC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,26
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Cl)C(=N3)CC(=O)O,34
CS(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4300
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)F)CC(=O)O,2
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Cl)CC(=O)O,1
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)[N+](=O)[O-])C(=N3)CC(=O)O,46
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Cl)CC(=O)O,7.1
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Cl)CC(=O)O,76
CSC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,60
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C(=C4)C(F)(F)F)O)CC(=O)O,120
CC(C)C1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,3200
COC1=C(C=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,2300
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Br)CC(=O)O,3.1
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=CC(=C3)C4=NC5=CC=CC=C5S4)CC(=O)O,5700
CC(C1=NC2=C(S1)C=CC(=C2)Cl)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,26
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)Cl)C(F)(F)F)CC(=O)O,620
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)Cl)CC(=O)O,5
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)Cl)CC(=O)O,4
CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,1700
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)Cl)Cl)CC(=O)O,420
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)O)CC(=O)O,41
COC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4200
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=CC=CC=C5C(=N4)CC(=O)O,510
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)F)C(F)(F)F)CC(=O)O,100
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])C(=N3)CC(=O)O,33
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=NC4=CC=CC=C4S3,5500
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)F)CC(=O)O,6.2
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)Cl)Cl)CC(=O)O,20
CC(C)C1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,110
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)O)CC(=O)O,1000
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)Cl)CC(=O)O,110
C1=CC2=C(C=C1Br)SC(=N2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,1800
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Cl)C(=N3)CC(=O)O,15
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Br)C(=N3)CC(=O)O,12
CC(C1=NC2=C(S1)C=CC(=C2)C(F)(F)F)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,37
CC(C)C1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,110
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)C(F)(F)F)CC(=O)O,25
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC=C4F)C(=N3)CC(=O)O,30
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)O)CC(=O)O,100
CC(C1=NC2=CC=CC=C2S1)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,43
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,19
C1=CC=C2C(=C1)C(=NN(C2=O)C3=NC4=CC=CC=C4S3)CC(=O)O,100000
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)F)CC(=O)O,6.9
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)O)O)CC(=O)O,87
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)F)CC(=O)O,6.3
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=C(C=C3)C4=NC5=CC=CC=C5S4)CC(=O)O,100000
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O.O,350
