NOVARTIS: Antimalarial liver stage activity measured as reduction in Plasmodium yoelii schizont area in HepG2-A16-CD81 cells by immuno-fluorescence, and median schizont size at 10uM compound concentration
CCOC(=O)C1=C(OC2=C1C(=C(C(=C2)CN(C)C)O)Cl)CSC3=CC=CC=C3,7200
CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC=CC=N3.Br,95.6
C1CC1NC2=C(C=CC(=C2)N3CCN(CC3)C(=O)C4=CC=CS4)[N+](=O)[O-],692
C1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCCO.Cl,47.9
C1CCCN(CC1)CCCNC2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)C(F)(F)F)[N+](=O)[O-],450
COC1=CC=CC(=C1)C(=O)NC(C2=CC=CC=C2OC)C3=CC(=C4C=CC=NC4=C3O)Cl,544
CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl,80.2
C1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C3=O)NC5=CC=CC=C5S2,93.7
COC1=CC=CC(=C1)NC2=NC3=CC=CC=C3C(=N2)NCCO.Cl,62.3
CC(C1=NC(=NO1)C2=CC=C(C=C2)NC(=O)C3=CC=CO3)OC4=C(C=C(C=C4)Cl)Cl,154.2
CCN1C=C(C(=O)C2=CC(=C(C=C21)N(C)CCC3=CC(=C(C=C3)OC)OC)F)C(=O)OCC,42.1
CC1=C(C2=CC=CC=C2N1CC(=O)NC3=CC(=CC=C3)OC)C#N,9960
CC1=NC2=C(C=C(C=C2)OC)C(=C1)NC3=CC(=C(C=C3)OC4=CC=C(C5=CC=CC=C54)Cl)Cl,267.1
CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)OC,10000
COC1=CC=CC=C1CC2=NC3=CC=CC=C3N=C2SCC(=O)NC4=CC=CC(=C4)C(F)(F)F,10000
C1CC(OC1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC(=CC=C4)O,1041
C1CC1NC2=C(C=CC(=C2)N3CCN(CC3)C(=O)C4=CC(=CC=C4)Cl)[N+](=O)[O-],3200
CCC1=CC=CC=C1N=C2C(C(=O)C3=C2C(=CC=C3)[N+](=O)[O-])C(=O)C,2028
CC1=NC2=C(C=C(C=C2)OC)C(=C1)NC3=CC(=C(C=C3)OC4=C(C5=CC=CC=C5C=C4)Cl)Cl,113.9
CN(C)CCNC1=CC(=NC2=C1C=C(C=C2)OC)C3=CC=CC=C3,570
CC1(N=C(N=C(N1C2=CC=CC=C2)N)N)C.Cl,100
C1=CC=C(C=C1)CC(=O)NC(C2=CC=C(C=C2)Cl)C3=C(C4=C(C=CC=N4)C=C3)O,189.9
CC1=C(C(=O)C2=CC=CC=C2N1)Br,214.2
C1OC2=C(O1)C=C3C(=C2)N=C(S3)NC4=NC(=CS4)C5=CC=CC=N5,78.9
CCCN(CCC)CCCNC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)C)F)[N+](=O)[O-],646
COC1=CC(=CC(=C1OC)OC)C(=O)N2C(CC(=C3C(=C4C=C(C=CC4=NC3=O)Br)C5=CC=CC=C5)N2)C6=CC(=CC=C6)[N+](=O)[O-],435
C1CCC(CC1)NCC(CN2C3=CC=CC=C3C4=CC=CC=C42)O,3920
CC1=CC=C(C=C1)N2C(=NC(=NC2(C)C)N)N.Cl,10
CC1=C(C=CC(=C1)OC(C)C(=O)N2CCC3=CC=CC=C32)Cl,776
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCC4=CN=CN4,706
CC1(N=C(N=C(N1C2=CC=C(C=C2)I)N)N)C.Cl,10
CC1CC(CN(C1)CCCNC2=C(C=C(C=C2)C(=O)NC3=CC(=CC=C3)OC)[N+](=O)[O-])C,437
C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)F)NCCO.Cl,136.4
CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C.Cl,2.56
CC1=C(C2=C(O1)C(=O)C3=CC=CC=C3C2=O)C(=O)NCCCN4C=CN=C4,118.6
CC1=NC(=C(O1)N2CCCCC2)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,82.4
CCCCCC1=C(N2C3=CC=CC=C3N=C2C(=C1C)C#N)NCCN(CC)CC,702
CCCC[N+]1=CC=CC=C1C=C2N(C3=CC=CC=C3S2)CC,10.88
CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=NC(=CC(N3N2)C4=CC=CC=C4)C5=CC=CC=C5,10000
C1CCCN(CC1)C2=C(C=C3C(=C2)NC=C(C3=O)C(=O)O)F,10000
C1=CC=C2C(=C1)C3=CC=CC=C3N2CC(C[N+]4=CC=CC5=C4C(=CC=C5)O)O.[Cl-],311.3
COC(=O)C1=CC=C(C=C1)C2C3=C(CC(CC3=O)C4=CC=CO4)NC5=CC=CC=C5N2C(=O)C6=CC=CC=C6,4780
CCNC(=O)C1CCN(CC1)C2=CC=CC3=C2C(=O)N(C3=O)C4CCCCCCC4,269.2
CCOC(=O)C1=CNC2=C(C1=O)C=C(C=C2)OC,135.1
C1CCC2=C(C1)C(=O)N3C(=N2)C=C(N3)C4=CC=C(C=C4)Br,499
C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC(=CC=C3)Cl)NCC4=CC=CO4.Cl,383
CCOC(=O)C1=CN=C2C=CC(=CC2=C1Cl)OC,410
C1=CC(=CC(=C1)[N+](=O)[O-])C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=NC=CS4,358
COC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,305.4
CCN1CCN(CC1)C2=C(C=NC3=CC(=C(C=C32)OC)OC)C(=O)C4=CC=CC=C4,367
C1=CC=C(C(=C1)C2C3C(=NC4=CC=CC=C4S2)C5=CC=CC=C5C3=O)F,238.7
CC(=O)N(C1=CC=C(C=C1)F)C2=C(C(=O)C3=CC=CC=C3C2=O)N(C)C,57.3
CN1C=NN=C1SCC(=O)NC2=CC=CC=C2C(F)(F)F,10000
C1CC2=C(C3=NC4=CC=CC=C4N3C(=C2C1)N5CCN(CC5)C6=CC=CC=N6)C#N,10000
CC1=NC(=NC(=C1)C2=CC=CC=C2)NC3=NC4=C(C=CC(=C4)OC)C(=N3)C,6660
C1CCN(C1)S(=O)(=O)C2=C3C(=CC(=C2)Br)CCN3C(=O)C4CC4,10000
C1CC1NC(=O)C2CCN(CC2)C3=CC=CC4=C3C(=O)N(C4=O)CC5=CC(=CC=C5)C(F)(F)F,29.3
C1C(CC(=O)C2=C1NC3=CC=CC=C3NC2C4=CC=CC=C4[N+](=O)[O-])C5=CC=CC=C5,10000
CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)C)C(=C2)C(=O)OCC(=O)C4=CC(=CC=C4)[N+](=O)[O-],10000
COC1=CC=CC=C1NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,91.3
CC(=O)N(C1=CC=C(C=C1)I)C2=C(C(=O)C3=CC=CC=C3C2=O)N4CCOCC4,602
CCN1C(=CC2=CC=[N+](C=C2)C)C=CC3=C1C=CC(=C3)C.[I-],169.9
C1CCC2=C(C1)C(=O)C3=CC=CC=C3N2,500
CC(C)(C)OC(=O)N1CCC(CC1)C2=C(C=NN2C3=C(C=C(C=C3)F)F)C(=O)NC4=CC=CC(=C4)C(F)(F)F,3124
CCC(C(=O)NCCOC)SC1=NC(=C(N=N1)C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,303
CC(C)(C)C1CCC2=C(C1)C(=O)C3=CC=CC=C3N2,98.3
CCCCCCOC1=CC=C(C=C1)NC(=O)C2=CC=CS2,138.6
CCCCN(CCCC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CO2,377
CC1=CC2=NC(=C(C=C2C=C1)C)NC3=CC=C(C=C3)Cl,148
CN(C)CCCN(CC1=CC2=CC3=C(C=C2NC1=O)OCO3)C(=S)NC4=CC(=CC=C4)Cl,818
CCCCNC(=O)C1CCC(CC1)CN(CC2=C(C=CC=C2Cl)Cl)S(=O)(=O)C3=CC=C(C=C3)Br,123.6
CCN(CC)C1=CC=C(C=C1)N=CC2=CC=C(O2)SC3=NC4=CC=CC=C4S3,10000
CN(C)C1=CC=[N+](C=C1)CC(=O)NC2=CC=C(C=C2)Cl.[Cl-],584
CCCCCCCCN1C(=[N+](C2=CC(=C(C=C21)Cl)Cl)C)C.[I-],419
C1CC2CC(CC(C1)N2CCC3=CC=CC=C3)NC(=O)NC4=CC=C(C=C4)C#N,497
CC1=CC=CC2=C1NC3=C2N=NC(=N3)SCC(C)C,151.5
COC1=CC2=C(C=C1)NC(=O)C(=C2)CN(C3CCCC3)C(=S)NC4=CC=CC=C4OC,9740
C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)F)NCC4=CC=CO4.Cl,74.9
COC1=CC=C(C=C1)C2N(C3=CC=CC=C3N2CC4=CC=CC=C4)CC5=CC=CC=C5,121.2
COC1=CC=CC(=C1)C2=CN=CC(=N2)C3=CC(=CN=C3)OC,10000
CC(C)NCC(CN1C2=C(C=C(C=C2)Cl)C3=C1C=CC(=C3)Cl)O,2973
CCN(CC)CCCN(CC1=CC2=C(C=C(C=C2)C)NC1=O)C(=S)NC3=CC(=CC=C3)Cl,448
CCN(CC)C1=CC=C(C=C1)NC(=O)C2=CC=CS2,396
CC1=CC=CC(=C1)C(=O)NCC2=NNC(=S)N2C3=CC=CC(=C3)C(F)(F)F,10000
CCCCOC1=CC=C(C=C1)N(C2=C(C(=O)C3=CC=CC=C3C2=O)N4CCOCC4)C(=O)C,1793
CC(C)C1=CC=CC=C1OCC(=O)NC2=C(C=C(C=C2)OC)OC,10000
CC1=CC(=NC=C1)NC(C2=CC3=CC=CC=C3C=C2)C4=C(C5=C(C=CC=N5)C=C4)O,556
COC1=C(C(=CC=C1)OC)C(=O)NC(=S)NC2=CC(=CC(=C2)C(=O)OC)C(=O)OC,10000
C1CC(CN(C1)C(=O)C2=NSN=C2)COC3=CC=CC(=C3)CN4CCC(CC4)CC5=CC=CC=C5,609
CN(CC1=CC=CC=C1)C(=O)CSC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,7.13
CCOC(=O)C1C(CC2=C(C1=O)C(C(=C(N2)C)C(=O)OCC)C3=CC(=C(C(=C3)OC)OC)OC)C4=CC=CC=C4OC,509
C1CSC2=[N+]1C=C(N2C3=CC=CC=C3)C4=CC=C(C=C4)F.[Br-],4300
CC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C(S3)NC(=O)C)C,1892
C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC=CC=C4,152.8
CCOC(=O)C1=C(N(C2=CC(=C(C=C21)O)Br)C)CNC.C(=O)O.C(=O)O,10000
CC1=CC=C(C=C1)N2C(=CC(=C2C3=CC=CC=C3)C=NNC(=O)C4=CC(=CC=C4)N5C(=CC=C5C)C)C6=CC=CC=C6,47.9
C1CCCCCC2=C(CCCC1)C(=O)C3=CC=CC=C3N2,99
COC1=C(C=CC(=C1)C(=O)NCCC2=CC=CC=N2)OC3CCN(CC3)CC(C4=CC=CC=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,1275
C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)F,3790
CN1C2=CC=CC=C2[N+](=C1C3=CC=C(C=C3)N(C)C)C.[Cl-],174.8
C1=CC=C2C(=C1)C3=C(C2=O)C(SC4=CC=CC=C4N3)C5=CC=CO5,113.1
CCC1=NOC(=C1C(=O)NCCN2CC(OC3=CC=CC=C3C2)C4=CSC=C4)C,10000
CCOC1=CC=C(C=C1)N(C(C2=CN(N=C2C)C)C(=O)NC3CCCCC3)C(=O)C4COC5=CC=CC=C5O4,10000
CC1=CC=CC2=C1NC(=C(C2=O)CC=C(Cl)Cl)C,168.8
CCCCC1=C(C(=N)C2=CC=CC=C2N1C)CCC.I,243.7
C[N+]1=CC=C(C=C1)C=C2N(C3=CC=CC=C3S2)CC=C.[I-],13.24
C1CC1NC(=O)C2=CC=C(O2)CSCC3=CC=CC=C3Cl,140.4
C1=CC(=CC=C1C(=O)C2=CC(=C(C=C2)Cl)Cl)[N+](=O)[O-],1644
CCCCSCC(CN1CCCCC1)O,10000
CCCCC1=C(NC2=C(C1=O)C=C(C=C2)Br)C,64.7
COC1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)C4=CN=CC=C4,542
CC1=C(C(=O)C2=CC=CC=C2N1)CC=C(Cl)Cl,130.1
CCCCCCCC[N+]1=C(N(C2=C1C=CC(=C2)C(=O)OCC)CC)C.[I-],990
C1=CC=C2C(=C1)C3(C(=O)N2)N=C4C=CC=CC4=C5N3C6=CC=CC=C6N5,10000
CC1(N=C(N=C(N1C2=CC(=CC=C2)OC)N)N)C.Cl,29.48
CSC1=NN=C(N1CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-],2512
CCOC(=O)C1C(CC2=C(C1=O)C(C(=C(N2)C)C(=O)OCC)C3=CC(=C(C(=C3)OC)OC)OC)C4=CC(=CC=C4)OC,232.3
CCOC(=O)C1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,20
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC(=O)C4=C(C=CC(=C4)Cl)O,180.9
C1=CC=C2C(=C1)C3=NC4=CC=CC=C4SC(C3C2=O)C5=CC(=CC=C5)F,162.5
CCCC1=C(NC2=CC=CC=C2C1=O)C,279.2
C1=CC=C2C(=C1)C(=NS(=O)(=O)C3=CC=CS3)C=C(C2=O)NC4=CC=C(C=C4)O,85.6
CCCN1C2=CC=CC=C2N=C1C3=CC(=CC=C3)Br,8910
CCCN[P+](CC(C)C)(NCCC)NCCC,281.4
C1=CC=C2C(=C1)C3=C(C4=C2C(C(=C(O4)N)C#N)C5=CC=C(C=C5)F)OC(=C(C3C6=CC=C(C=C6)F)C#N)N,3930
CCCCN1C2=C(N=C1NNC3=C4C=CC=CC4=NC3=O)N(C(=O)NC2=O)C,10000
CC(=O)NC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=C(C=C3)OC4=CC=C(C=C4)C5=C(N=C(N5)C6=CC=C(C=C6)NC(=O)C)C7=CC=CC=C7)C8=CC=CC=C8,3730
CCCC1=NC2=C(C=C(C=C2)NC(=O)C3=CC=CO3)C(=O)N1CC4=CC=C(C=C4)C5=CC=CC=C5,306.4
C1=CC=C2C(=C1)C(=O)C3=C(N2)C=CC(=C3)I,104.7
CCCCCCOC1=C(C=C(C=C1)C(=NNC2=NCCN2)C)[N+](=O)[O-],784
C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC=CC=C4F.Cl,690
CCC(=CC1=[N+](C2=C(S1)C=CC(=C2)OC)CCCS(=O)(=O)O)C=C3N(C4=C(S3)C=CC(=C4)OC)CCCS(=O)(=O)O,11.24
CC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=O)N2NC(=O)C4=C(C=CC=C4OC)OC,10000
CCCC(=O)N1CCN(CC1)C2=NC(=C3COC(CC3=C2C#N)(C)C)CC4=CC=CC=C4,348
C=CC[N+]1(CCCCC1)CC#CC2=CC=CC3=CC=CC=C32.[Br-],908
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)NC(=O)C3=CC=CO3)C,299.5
CC[N+]1=C(SC2=CC=CC=C21)C=C3C=C(OC(=C3)C)C.[Cl-],244.7
CC1=CC(=NO1)C(=O)NC2=CN(N=C2)CC3=C(C=C(C=C3)Cl)Cl,335
C1CN(CCN1CC2=C(C3=C(C=CC=N3)C=C2)O)CC4=C(C5=C(C=CC=N5)C=C4)O,96.6
CN1C(C(C2=CC=CC=C2C1=O)C(=O)NC3=CC(=C(C=C3OC)OC)Cl)C4=CC(=C(C=C4)OC)OC,9130
CC(C)(C)C1=CC=C(C=C1)OC2=CC=C(C=C2)N3C(=O)C4CC=CCC4C3=O,10000
CCCCCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=C(C=C3)F)C(=O)C4=CC=C(C=C4)C(C)(C)C,6910
C1=CC=C(C=C1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(Cl)Cl)NC(=O)C4=CC=C(C=C4)F,14.48
C1C=CC2C1C3CC2C(C3)NC(=S)NN=CC4=CC=CC=N4,25.61
CC1=CC(=C(C=C1)NC2=NC(=NC(=C2)C)NCC3=CC=CC=C3)C,1300
CC1=C(C2=CC=CC=C2N1CC(=O)NC3=CC=C(C=C3)Br)C#N,10000
CCN1C2=CC=CC=C2[N+](=C1C=CC=C3C(C4=CC=CC=C4N3C)(C)C)CC5=CC=CC=C5,6.76
CC1=NC2=CC=CC=C2C(=O)N1C3=CC=C(C=C3)[N+](=O)[O-],10000
CCCCCC[N+]1=CC=CC=C1C=CC2=CC=C(C=C2)N(C)C.[I-],55.9
CC1=CC=C(C=C1)C2=C[N+]3=C(N2C4=CC=CC=C4)SCC3.[Br-],1089
C1CSC2=[N+]1C=C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br.[Br-],828
C1CCN(CC1)C2=NC3=C(S2)C=C(C=C3)C(=O)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,9220
CCCCC(CC)C(=O)N1CCN(CC1)C(CC)C2=NC3=CC=CC=C3C(=O)N2C,231.4
CCOC(=O)C1=CC=C(C=C1)NCC2=C(NC3=CC=CC=C3C2=O)C,136.9
C1CC2=C(C3=NC4=CC=CC=C4N3C(=C2C1)N5CCN(CC5)CC6=CC=CC=C6)C#N,10000
CCC1=C(N2C3=CC=CC=C3N=C2C(=C1C)C#N)NCC4=CC=CC=C4,9600
CCOC(=O)C1C(CC2=C(C1=O)C(C(=C(N2)C)C(=O)OCC)C3=CC(=C(C=C3)OC)OC)C4=CC=C(C=C4)OC,239.8
C1CN(CCN1CCN2CCN(CC2)C3=CC=NC4=CC5=CC=CC=C5C=C34)C6=CC=NC7=CC8=CC=CC=C8C=C67,2914
CC[N+]1=C(C=CC2=CC=CC=C21)SCC.[I-],10000
C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=C(C=C3)Cl,151.3
CCCC1=NC2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3F)C(=O)N1CC4=CC=C(C=C4)C5=CC=CC=C5,1728
C1=CC=C2C(=C1)C(=O)C3=C(N2)C=CC(=C3)F,223.4
CCC(=O)NC(C1=CC=CC=C1Cl)C2=CC(=C3C=CC=NC3=C2O)Cl,1006
C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Br-],107.3
C1CN2C(=NC(=C2NC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5)CN1C(=O)CN,220.8
CCCCN(CC)CCNC(=O)C1C(N(C(=O)C2=CC=CC=C12)CC3=CC=C(C=C3)F)C4=CC=C(C=C4)OC,89.1
CC1=C(C=CC(=C1)CN2CCOC3=C(C2)C=C(C=C3)C(C)(CN(C)C)O)OC,67.5
COC1=CC2=C(C=C1)N=C(N2)SCC(=O)NC3=NC(=CC=C3)NC(=O)CSC4=NC5=C(N4)C=C(C=C5)OC,9290
C1CN(CCN(C1)C(=S)NC2=CC=CC=C2C(F)(F)F)C3=NC4=C(S3)C=C(C=C4)Cl,1623
C1CCCN(CC1)C2=CC=C(C=C2)N.Cl,1950
COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C3=O)NC5=CC=CC=C5S2,706
CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,38.1
CCCCN(CCCC)[P+](N(CCCC)CCCC)(N(CCCC)CCCC)N(CCCC)CCCC,11.52
CCCCCC[P+](N(CCC)CCC)(N(CCC)CCC)N(CCC)CCC,49.1
CCCN(CCC)[P+](CC)(N(CCC)CCC)N(CCC)CCC,259.6
C1CCC(CC1)NP2(=NP(=NP(=N2)(NC3CCCCC3)NC4CCCCC4)(NC5CCCCC5)NC6CCCCC6)NC7CCCCC7,18.59
CCOC1=CC=C(C=C1)NC(=O)C(C)SC2=NC3=CC=CC=C3N2,10000
CC1=CC=CC(=C1)C2=CC3=NC(=C(C(=O)N3N2)C)C,1097
CC1=C(C(=CC=C1)C)N(CC(=O)NCC2=CC=CO2)S(=O)(=O)C,10000
CCN(CC)CCCC(C)N(CC1=CC=C(C=C1)OCC)C(=O)COC2=CC=C(C=C2)Cl.C(=O)(C(F)(F)F)O,20.43
CC1=C(C2=C(O1)C(=O)C3=CC=CC=C3C2=O)C(=O)NCC4CCCO4,189.1
CCC(C)(C)C1=CC(=C(C=C1)OCCOCC[N+]2=CC=CC=C2)C(C)(C)CC.[Cl-],96.2
CC1=C(C=CC=C1Cl)N2C(=O)C3C(C2=O)C4C5=CC=CC=C5C3C6=CC=CC=C46,10000
COC1=CC=CC=C1N2C(=CC=C3C=C(C=CC3=O)Br)NC4=CC=CC=C4C2=O,4590
CC(C)CC(C(=O)N1CCN2C(=NC(=C2NC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5)C1)N,185.6
C1CN2C(CN1CC3=CSC=C3)CN(C2=O)CC4=CC5=CC=CC=C5S4,25.53
CCC1(CC(OC1=O)(C)C(=O)C[N+]2=CC=CC(=C2)Br)C(=O)OCC.[Br-],10000
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C=C3C=C(C=C(O3)C4=CC=CC=C4)C5=CC=CC=C5,51.9
CCN(CC)CCN(CC1=CC2=C(C=C(C=C2)C)NC1=O)C(=S)NC(C)C3=CC=CC=C3,883
CCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.I,76.5
CCCC1(NC(=S)N(N1)C2=CC(=C(C=C2)C)C)CCC,10000
C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)NC3=C4C=CC=CC4=NC5=CC=CC=C53,559
CCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC=CC(=C3)C)C(=O)NC4=C(C=CC=C4C(C)C)C(C)C,6300
CCN1C(C(N(C1=O)CC)NNC(=S)N)NNC(=S)N,68.6
COC(=O)C1=C(ON=C1C2=C(C=CC=C2Cl)Cl)NC(=O)NN3CCCCC3,647
CC(C1=NC2=C(C=C(C=C2)Cl)C(=O)N1C)N3CCN(CC3)S(=O)(=O)C4=CC=CC5=CC=CC=C54,22.31
CC1=CC=C(C=C1)N2C(=CC(=C2C3=CC=CC=C3)C=NNC(=O)C4=CC(=CC=C4)O)C5=CC=CC=C5,20.21
CCOC(=O)C1=CNC2=C(C1=O)C=CC3=C2CCCC3,10.76
CC1=CC=C(C=C1)CSCC2=CC=C(O2)C(=O)NC3CC3,47.3
C1=CC=NC(=C1)NC(C2=C(C(=CC=C2)Cl)Cl)C3=C(C4=C(C=CC=N4)C=C3)O,402
C1=CC(=CC=C1C2=C(N=NN2C3=NON=C3N)C(=O)NN=CC4=CC(=C(C=C4)F)Br)[N+](=O)[O-],10000
C1CC2=C(C1)N(C3=C(C2=N)CCC3)CC4=CC=C(C=C4)Cl,91.1
C1=CC=C2C(=C1)C3=C(C2=O)C(SC4=CC=CC=C4N3)C5=CC=C(C=C5)Br,327
CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3Cl)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)OC,842
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3C4=C(C5=CC=CC=C5C4=O)NC6=CC=CC=C6S3,58
C1CN(CCN(C1)C(=S)NC2=CC=CC=C2)C3=C(C=C(C=C3)C(F)(F)F)[N+](=O)[O-],2232
CCOC(=O)C1C(CC2=C(C1=O)C(C(=C(N2)C)C(=O)OCC)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4OC,335
CC1CCCC(O1)CC2CC3=CC(=CC(=C3C(=O)O2)O)O,112.4
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)C2=CC(=C(C=C2)Cl)Cl,3810
CCCN(CCC)[P+](CCC)(C1=CC=C(C=C1)[P+](CCC)(N(CCC)CCC)N(CCC)CCC)N(CCC)CCC,280.3
CCOC1=CC=C(C=C1)NC2=CC(=O)OC3=CC=CC=C32,502
CC1=CC=C(C=C1)C2=CN=CC(=N2)C3=CC(=CN=C3)OC,10000
C1=CC=C(C=C1)CC2=CC=[N+](C=C2)CC3=CC=CC=C3.[Cl-],4520
CC1(C2CCC(C2)C1(C)NC(=S)NN=CC3=CC=CC=N3)C,17.38
C1CN2C(=NC(=C2NC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5)CN1C(=O)C(CC6=CC=CC=C6)N,1.85
