DNDI: Cytotoxicity against L929 mouse fibroblasts, 72 hour.
COC1=CC=CC=C1C(=O)C2=C(OC(=N2)C3=CC=CC=C3)N,10
CCN(CC)CC1=COC(=N1)C2=CC=C(C=C2)Cl,39.53
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCCCC,1.54
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)C3=CC=CC=C3,3.33
CCC(CC)N=C(C1=CC=CC=C1C2=CC=CC=C2)NO,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCC,2.5
C1CC1C(C2=NC(=C(O2)N3CCOCC3)CC4=CC=CC=C4)NCC5=CC=CO5,10
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,3.13
CCCCC1=CC=C(C=C1)C2=NC(=C(O2)C)C,5.21
CC1=CC=C(C=C1)CNC(CC(C)C)C2=NC(=C(O2)N3CCOCC3)C4=CC=CC=C4,10
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,3.13
CN1CC(=CC1=O)OC(=O)C2=CC=CC=C2,10
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=C(C=CS4)Cl,50
CCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,3.13
CCCCCC(C)NCC1=CC=CC=C1C2=CC=CC=C2,4.68
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C(=O)OCC,10
CCCCCC(C)NCC1=NN(C(=C1)C2=CC=CC=C2)C,12.84
CCCCCC(C)NCC1=C(OC(=N1)C2=CC=C(C=C2)OC)C,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC3=CC(=C(C=C3)Cl)Cl,1.9
CC1(C2CCC(C1C2)CNCC3=COC(=N3)C4=CC=C(C=C4)C5=CC=CC=C5)C,3.13
CCC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3O)NO,10
CC(C)OC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=C(C=CC=C3OC)OC,4.15
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C3=CC(=NO3)C4=CC=CC=C4,10
CC1=CC=C(C=C1)CNC(CC(C)C)C2=NC(=C(O2)N3CCOCC3)CC4=CC=CC=C4,10
CC1=CC=CC(=C1)C2=NC(=C(O2)C)CNCCC3CCCN3C,9.29
COC1=CC=CC=C1CNC(CCC2=CC=CC=C2)C3=NC(=C(O3)N4CCCCC4)CC5=CC=CC=C5,8.24
CCC1=CC(=CC=C1)N=C(C2=CC=C(C=C2)OC)NO,10
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=C(C=CC=C3F)F)NO,10
CC1=CC(=CC=C1)CNC(C2=CC=CC=C2)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCC3,2.52
C1COCCN1CCCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCC3=CN=CN3,2.43
CCCCCC(C)NCC1=NOC(=C1)C2=CC=CC=C2,12.88
CCC1=CC(=CC=C1)N=C(C2=CC=CC=C2C3=CC=CC=C3)NO,2.4
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC3=CC=CC=C3,1.41
CC(C1CCCCC1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,3.13
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)SC(F)(F)F,3.64
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,3.13
CCC(C)C1C(=O)CC(=O)N1C(=O)OC(C)(C)C,10
CC1=CC=C(C=C1)CNC(CC(C)C)C2=NC(=C(O2)N3CCOCC3)C(C)C,10
CC(C)(CNC1=CC(=NC2=CC(=NN21)C3=CC(=CC=C3)F)C4=CC=CC=C4)CN(C)C,10
C1=CC(=CC(=C1)F)N=C(C2=C(N=CC=C2)OC3=C(C=CC(=C3)Cl)Cl)NO,7.69
COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=CC=N2)OC,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CN(C)CC3=COC(=N3)C4=CC=C(C=C4)OCC,50
C1CC1C(C2=NC(=C(O2)N3CCOCC3)CC4=CC=CC=C4)NCC5=CC6=C(C=C5)OCO6,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCC3,3.51
CCCCCC(C)NC(=O)C1=COC(=N1)C2=CC=CC=C2,27.2
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCC4=CC=CC(=C4)C,10
CC1=NC2=CC(=NN2C(=C1)NCCCN3CCCC3)C4=CC(=CC=C4)F,10
CC1=NC2=CC(=NN2C(=C1)NCC(C)(C)CN(C)C)C3=CC(=CC=C3)F,9.64
C1CCCC(CC1)NCC2=COC(=N2)C3=CC=C(C=C3)OC4CCCCC4,1.29
COC1=CC=CC=C1CNC(CCC2=CC=CC=C2)C3=NC(=C(O3)N4CCOCC4)C5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC(C)C,1.48
C1=CC(=CC(=C1)F)N=C(C2=C(N=CC=C2)OC3=C(C=CC=C3F)F)NO,10
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)OC(F)(F)F,6.48
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCCC3CCCN3C,2.9
CC1=CC=C(C=C1)CNC(CCC2=CC=CC=C2)C3=NC(=C(O3)N4CCCCC4)C5=CC=CC=C5,10
CC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO,10
COC1=C(C=C(C=C1)CNC(C2CCCCC2)C3=NC(=C(O3)N4CCCCC4)CC5=CC=CC=C5)OC,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(CC)CC,1.83
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCC4=CC=CO4,10
C1C2CC3CC1CC(C2)C3NCC4=COC(=N4)C5=CC=C(C=C5)Cl,6.73
CCC(CC)OC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(C)C,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(CC)CC,0.85
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC(=C2)F)F,7.08
C1COCCN1CCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,10
COC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC,5.42
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN3CCN(CC3)C4=CC=CC=C4,10
CC(=O)C1=C(C(NC1=O)COCC2=CC=CC=C2)O,10
CC1=CC=C(C=C1)CNC(C2=CC=CC=C2C)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CC1=NC2=CC(=NN2C(=C1)NCCN3CCCC3)C4=CC(=CC=C4)F,10
CCCCCCCCOC(=O)CC1=COC(=N1)C2=CC=C(C=C2)CCCC,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)C,1.42
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC(CN)O,2.91
CC1=CC=C(C=C1)CNC(C2CC2)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
COC1=CC=CC=C1CNC(C2=CC=CC=C2)C3=NC(=C(O3)N4CCOCC4)C5=CC=CC=C5,10
CC1(C2CCC(C1C2)CNCC3=COC(=N3)C4=C(C=CS4)Cl)C,50
C1CCC(CC1)N=C(C2=CC=CC=C2)NO,10
CC1=NC(=C(C=C1)C(=NC2CCCCC2)NO)OC3=C(C=CC(=C3)Cl)Cl,10
CCC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3N)NO,10
CCC(C)C(C1=NC(=C(O1)N2CCOCC2)C3=CC=CC=C3)NCC4=CC=CC=C4OC,10
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC(=C2)OC)OC,4.75
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)Cl)Cl,4.75
CCC1=CC(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)OC,1.88
CCCCC1=CC=C(C=C1)C2=NC(=CO2)NC3=CC=CC=N3,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC,10
C1=CN2C(=N1)SC(=N2)Br,10
CC1(C2CCC(C1C2)CNCC3=COC(=N3)C4=CC=C(C=C4)Br)C,50
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCCCCC,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC3,7.55
CC(C)CC(C1=NC(=C(O1)N2CCOCC2)C3=CC=CC=C3)NCC4=CC(=C(C=C4)Cl)Cl,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,10
CC1=CC(=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO)OC,10
C1CCN(CC1)CCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,9.91
C1CCC(CC1)N=C(C2=CC=CC=C2C3=CC=CC=C3)NO,10
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)CC3=CC=CC=C3)NCC4=CC=C(C=C4)C,10
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=C(C=CC(=C3)Cl)Cl)NO,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C3=CC=CC=C3,26.64
CCCCCCCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)CCCCC,2.9
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCN3CCCC3,3.87
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=C(C=CS3)Cl,50
CC1=CC(=O)N2C(=N1)C=C(N2)C3=CC(=CC=C3)F,10
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=CC=C(C=C3)C4=CC=CC=C4,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C(C)(C)C,28.73
CC(C)(C)C1=CC(=CC=C1)N=C(C2=CC=C(C=C2)OC)NO,3.91
CCCCCC(C)NCC1=CC=C(O1)C2=CC=CC=C2,7.14
CCCCC1=CC=C(C=C1)C2=NC(=C(O2)C)C3=CC=CC=C3,10
C1CCN(C1)CCNC2=NC3=C(C(=N2)OC4=CC=CC5=CC=CC=C54)SC=C3,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,1.63
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=CC=C3,3.29
CC1(C2CCC(C1C2)CNCC3=CC=C(S3)C4=CC=CC=C4)C,6.63
C1CCC(C1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,12.94
C1CNCCC1NC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,1.11
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(F)F,3.82
CN(C)CCCNC1=CC(=NC2=CC(=NN21)C3=CC(=CC=C3)F)C4=CC=CC=C4,2.28
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CN=CC=C3,10
CCCCCC(C)NCC1=COC(=C2C=C(C=CC2=O)C(=O)C)N1,3.47
CN(CC1=COC(=N1)C2=CC=C(C=C2)Cl)C3CCCCC3,11.4
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C3CCCCC3,0.67
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN3CCCC3,6.03
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(C)CC,1.55
CCCCCC(C)NCC1=COC(=N1)C2=C(C=C(C=C2)F)F,12.42
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC3=CC=CC=C32,6.56
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)F)F,6.34
CCCCC1=CC=C(C=C1)C2=NC(=C(O2)C(=O)C)C,10
CN(C)CCCNCC1=COC(=N1)C2=CC=C(C=C2)OC3CCCC3,10
CC1=CC=C(C=C1)C2=NC(=C(O2)C)CNCCC3CCCN3C,7.78
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)OCCCC)C,1.37
COC1=CC=C(C=C1)C(=NC2=CC(=CC=C2)F)NO,10
C1CCC(CC1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,6.85
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCCC,3.13
CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CNCCCN(C)C,10
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=CC=C(C=C3)F)NO,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(F)(F)F,3.56
COC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO,10
CCCCCC(C)NCC1=COC(=N1)C2=C(C=CC(=C2)F)F,13.17
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C(F)(F)F,3.55
C1CCN(C1)CCCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,6.92
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=NC=C3,10
CC1=NC2=CC(=NN2C(=C1)NC3CCN(C3)C(=O)OC(C)(C)C)C4=CC(=CC=C4)F,10
CC(C)(C)C1=CC(=O)N2C(=N1)C=C(N2)C3=CC=C(C=C3)F,10
CC(C)(C)C1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO,10
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)Cl,3.13
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3CCC3,2.36
CCCCCC(C)NCC1=CC=C(C=C1)C2=CC=CC=C2,3.13
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)C)C,1.86
CC1=CC=C(C=C1)CC2=CC=CC=C2C(=NC3CCCCC3)NO,3.48
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=CC=C(C=C3)Br,3.13
CC1=CC=C(C=C1)CNC(C2=CC=CC=C2)C3=NC(=C(O3)N4CCCCC4)C5=CC=CC=C5,10
CCC1=CC(=CC=C1)N=C(C2=C(N=C(C=C2)C)OC3=C(C=CC(=C3)Cl)Cl)NO,4.7
CCCCCC(C)NCC1=COC(=N1)C2=CC=CS2,13.54
CCOCCCNC(C1CC1)C2=NC(=C(O2)N3CCOCC3)CC4=CC=CC=C4,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,1.07
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC,5.27
COC1=CC=C(C=C1)C(=NC2CCCCC2)NO,10
CC1=NC2=CC(=NN2C(=C1)NCCCN3CCOCC3)C4=CC(=CC=C4)F,10
C1C2CC3CC1CC(C2)C3NCC4=COC(=N4)C5=CC=C(C=C5)C6=CC=CC=C6,9.8
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C3=CC=CC=C3,1.83
CC(C)OC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,6.77
C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)NCCCN)C4=CC(=CC=C4)F,1.57
CC(C)CC(C1=NC(=C(O1)N2CCOCC2)CC3=CC=CC=C3)NCC4=CC=C(C=C4)OC,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C3=CC=C(C=C3)OC,10
CCCCCC(C)NCC1=CC=CC(=C1)C2=CC=CC=C2,3.39
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=C(C=C3)Cl,7.38
CCCCCCCC(=C1C(=O)CN(C1=O)C)O,10
CCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,3.67
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3=CC=CC=C3,1.6
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCCC3CCCN3C,1.21
CC(C)(C)C1=NC2=CC(=NN2C(=C1)N3CCNCC3)C4=CC=C(C=C4)F,2.75
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C,42.09
COC1=C(C=C(C=C1)CNC(CCC2=CC=CC=C2)C3=NC(=C(O3)N4CCCCC4)CC5=CC=CC=C5)OC,10
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)CC3=CC=CC=C3)NCC(C)C,10
C1CC1C(C2=NC(=C(O2)N3CCOCC3)C4=CC=CC=C4)NCC5=CC=CO5,10
COC1=C(C=C(C=C1)S(=O)(=O)NC2CCCCC2)OC,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCC3=CC=CC=C3,2.3
