Cytotoxicity measured using the drug resistant, P-glycoprotein (Pgp) expressing human small cell lung carcinoma cell line H69/LX4
CC1=C2C(=C(C=C1)C(=O)NCCN(C)C)N=C3C4=C(C=CC3=N2)C(=CC=C4)OC,168
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC(=C4)OC,185
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=C(C=C4)[N+](=O)[O-],102
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,49
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=CC(=O)C=CC4=C3N2,193
CN(C)CC(CC1=CC=CC=C1)NC(=O)C2=C3C(=CC=C2)N=C4C=CC5=C(C4=N3)C=CC=C5OC,513
CCOC(=O)COC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,506
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCCO,235
CN(C)CC(CCO)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,28
CN(C)CCNC(=O)C1=C2C(=CC=C1)NC3=CC=C4C(=O)C=CC=C4C3=N2,48
CN(C)CC(CO)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,28
CC(C(CN(C)C)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC)O,19
CN(C)CCCNC1=C2C(=C3C=CC(=O)C=C3N1)C4=CC=CC=C4C2=O,22.6
CN(C)CC(C(=O)O)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,5000
CN(C)CC(C(=O)OC)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,5000
CN(C)CCCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,597
CNC1=C(C2=NC3=C(C=CC4=C3C=CC=C4OC)N=C2C=C1)C(=O)NCCN(C)C,143
CN(C)CCNC(=O)C1=C(C=CC2=NC3=C(C4=C(C=C3)C(=CC=C4)OC)N=C21)N,29
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=C(C=C4)OC,112
CN(C)CCNC(=O)C1=C2C(=CC=C1)NC3=CC=C4C=CC(=O)C=C4C3=N2,282
CN(C)CCNC(=O)C1=C2C(=NC3=C(N2)C4=C(C=C3)C(=CC=C4)OC)C=CC1=O,107
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4N,193
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4CO,423
CNCCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,234
CC(C)(CN(C)C)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,642
CC(CNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC)N(C)C,126
COC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN5CCCC5,77
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4S(=O)(=O)C,3813
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4SC,94
CNS(=O)(=O)C1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,5000
CN(C)CCNC(=O)C1=CC(=CC2=NC3=C(C4=C(C=C3)C(=CC=C4)OC)N=C12)Br,100
CN(C)CCNC(=O)C1=CC(=CC2=NC3=C(C4=C(C=C3)C(=CC=C4)OC)N=C12)Cl,21
CC(=O)COC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,138
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCC#N,24
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCC#C,61
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCC5=CC=CC=C5,882
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCC(=O)O,5000
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCC(=O)N,328
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OCCOC,124
CCOC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,182
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4N(S(=O)(=O)C)S(=O)(=O)C,5000
CC(C)OC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,874
CN(C)CC(CO)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,25
CN1CCC(C1)NC(=O)C2=C3C(=CC=C2)N=C4C=CC5=C(C4=N3)C=CC=C5OC,128
CC(C)C(CN(C)C)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,20
CC(CN(C)C)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,44
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4C(=O)OC,91
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C=CC=C4C3=N2)C#N,147
CC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN(C)C,98
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,3874
