Displacement of [3H]CP-55,940 from CB2 receptor (unknown origin) after 1 hr by scintillation counting analysis
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=C(C=C3)Cl,136.14
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)F,5.6
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=CC=C3,71.94
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)C(C)C,457.09
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=CC=C2)C34CC5CC(C3)CC(C5)C4,59.98
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl,35.97
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)C3CCCCC3,164.06
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)OC,0.5
CC1=CC=C(C=C1)S(=O)(=O)N(CCC2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C,192
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC(=C5)C,19.01
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C(C)C,221.82
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC=C5,83.95
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)Cl,172.98
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)C,46.99
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=CC(=C2)C,2301.44
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC=C3,3.4
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C,5.4
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC(=C3)C,5.79
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=C(C=C2)Cl)C34CC5CC(C3)CC(C5)C4,38.02
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)C,2747.89
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)OC,5188
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)CCCC,696.63
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)C(=O)CC2=CC=CC=C2,1312.2
CCCCCCCC(=O)N(CCCCCCC)CC1=CC=C(C=C1)N(CC)CC,20000
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)F,25
