Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.41
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,7.39
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,8.39
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)C,12.01
CN1CCN(CC1)C(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)N4CCN(CC4)C,9.71
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCN,14.09
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,9.56
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,7.48
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCN,13.37
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCCNCCCN,11.72
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCN3CCN(CC3)CCCN,11.41
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCN,12.22
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,8.46
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,9.45
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCN,16.33
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,7.91
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.85
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,8.39
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,8.95
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.57
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,8.11
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,7.85
