Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Cl)CC(=O)O,18.45
CSC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,18.17
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C(=C4)C(F)(F)F)O)CC(=O)O,15.9
CC(C)C1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,13.97
COC1=C(C=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,14.12
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Br)CC(=O)O,19.77
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=CC=CC(=C3)C4=NC5=CC=CC=C5S4)CC(=O)O,12.27
CC(C1=NC2=C(S1)C=CC(=C2)Cl)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,18.97
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)Cl)C(F)(F)F)CC(=O)O,13.68
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)Cl)CC(=O)O,20.56
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)Cl)CC(=O)O,19.98
CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,13.43
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)Cl)Cl)CC(=O)O,15.17
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)O)CC(=O)O,20.11
COC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,14.1
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=CC=CC=C5C(=N4)CC(=O)O,15.67
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)F)C(F)(F)F)CC(=O)O,16
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])C(=N3)CC(=O)O,18.87
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=NC4=CC=CC=C4S3,13.58
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)Cl)F)CC(=O)O,20.33
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)Cl)Cl)CC(=O)O,18.32
CC(C)C1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,17.69
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)O)CC(=O)O,16.33
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)Cl)CC(=O)O,17.23
C1=CC2=C(C=C1Br)SC(=N2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,11.51
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Cl)C(=N3)CC(=O)O,20.28
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Br)C(=N3)CC(=O)O,18.41
CC(C1=NC2=C(S1)C=CC(=C2)C(F)(F)F)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,17.15
CC(C)C1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,17.69
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)C(F)(F)F)CC(=O)O,18.13
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC=C4F)C(=N3)CC(=O)O,20.37
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)O)CC(=O)O,19.05
CC(C1=NC2=CC=CC=C2S1)N3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,20.16
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,21.97
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)F)CC(=O)O,22.09
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)O)O)CC(=O)O,18.42
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)F)F)CC(=O)O,21.17
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O.O,14.81
