Inhibition of human factor 10a using N-Z-D-Arg-Gly-Arg-pNA, S-2765 chromogenic substrate
C1CN(C(=O)CN1S(=O)(=O)C2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,8.72
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.31
C1C2C(OC(=O)N2C3=C(O1)C=C(C=C3)C4=CC=CC=C4S(=O)(=O)N)CNC(=O)C5=CC=C(S5)Cl,13.88
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,14.84
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=NC=C(C=C5)Cl,13.4
COC1=CC=C(C=C1)C(=O)NCC2C3COC4=C(N3C(=O)O2)C=CC(=C4)N5CCOCC5=O,11.73
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC(=C(S5)Cl)Cl,10.22
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CN=C(S5)Cl,11.08
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=C(C=C6)Cl,11.2
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=CC(=C6)Cl,8.93
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(Cl)Cl,9.94
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(S5)Cl,14.73
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(C=C5)Cl,15.85
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=CC=C(S5)Cl,12.33
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=NC=C(C=C5)Cl,11.79
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=CC=C(C=C5)Cl,12.99
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,17.92
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,17.39
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,15.5
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.51
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3(=O)=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15.16
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CS3(=O)=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.31
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.35
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,10.95
C1CC2=C(C=CC(=C2)N3CCOCC3=O)N4C1C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,18.03
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CC3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,17.79
CC(C)(C)OC(=O)N1CC2C(OC(=O)N2C3=C1C=C(C=C3)N4CCCCC4=O)CNC(=O)C5=CC=C(S5)Cl,9.07
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CN3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,17.92
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CN3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,16.96
