Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,12.63
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,14.24
CCC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,12.23
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,12.45
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)OC(F)(F)F)F,10.58
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,13.11
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=C(C=C5)F)F)F,12.48
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5F)F,13.37
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=CC=C5)[N+](=O)[O-])F,12.42
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CN=CC=C5)F,12.6
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NNC=C5C=CC=N5)F,12.58
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)C(F)(F)F)F,10.94
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CO5)F,12.54
CC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,12.67
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CC=C5[N+](=O)[O-])F,13.21
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CO5)F,11.98
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,13.1
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,12.23
